id,player_id,matches_played,total_wins,total_loss,mm_points,assist,death,hs,kills,is_mm,created_at,updated_at
,354985,1,1,0,3,5,13,6,13,0,2020-02-01 00:47:32,2020-02-01 00:47:32
,152268,1,0,1,-1,3,20,2,15,0,2020-02-01 00:54:01,2020-02-01 00:54:01
,679247,1,0,1,-1,5,23,4,7,0,2020-02-01 01:00:31,2020-02-01 01:00:31
,604607,1,0,1,-1,3,21,8,11,0,2020-02-01 01:03:02,2020-02-01 01:03:02
,325203,1,1,0,3,2,13,11,21,0,2020-02-01 01:04:02,2020-02-01 01:04:02
,95479,1,0,1,-1,6,22,4,14,0,2020-02-01 01:08:32,2020-02-01 01:08:32
,35792,1,1,0,3,4,18,12,17,0,2020-02-01 01:09:32,2020-02-01 01:09:32
,679130,1,0,1,-1,2,21,5,15,0,2020-02-01 01:09:32,2020-02-01 01:09:32
,1129344,1,1,0,3,5,19,11,13,0,2020-02-01 01:11:32,2020-02-01 01:11:32
,850067,1,0,1,-1,7,22,9,14,0,2020-02-01 01:13:31,2020-02-01 01:13:31
,321178,1,1,0,3,8,23,9,12,0,2020-02-01 01:18:32,2020-02-01 01:18:32
,79214,1,0,1,-1,4,18,2,7,0,2020-02-01 01:21:02,2020-02-01 01:21:02
,862930,1,1,0,3,5,6,1,8,0,2020-02-01 01:23:32,2020-02-01 01:23:32
,1086226,1,0,1,-1,6,21,13,17,0,2020-02-01 01:24:01,2020-02-01 01:24:01
,641988,1,0,1,-1,2,18,6,16,0,2020-02-01 01:30:01,2020-02-01 01:30:01
,681743,1,1,0,2,1,2,2,2,0,2020-02-01 01:31:01,2020-02-01 01:31:01
,152301,1,1,0,3,7,23,7,17,0,2020-02-01 01:31:31,2020-02-01 01:31:31
,734021,1,1,0,3,6,19,9,24,0,2020-02-01 01:33:01,2020-02-01 01:33:01
,340916,1,0,1,-1,1,25,1,11,0,2020-02-01 01:38:31,2020-02-01 01:38:31
,1189027,1,1,0,3,5,26,5,16,0,2020-02-01 01:38:31,2020-02-01 01:38:31
,1240338,1,0,1,-1,2,20,3,4,0,2020-02-01 01:40:32,2020-02-01 01:40:32
,322891,1,1,0,3,2,14,5,12,0,2020-02-01 01:41:32,2020-02-01 01:41:32
,900185,1,1,0,3,7,15,6,13,0,2020-02-01 01:41:32,2020-02-01 01:41:32
,1105202,1,0,1,-1,3,9,1,4,0,2020-02-01 01:41:32,2020-02-01 01:41:32
,734543,1,0,1,-1,2,24,7,15,0,2020-02-01 01:47:02,2020-02-01 01:47:02
,697072,1,1,0,3,5,13,8,13,0,2020-02-01 01:56:31,2020-02-01 01:56:31
,806434,1,1,0,3,4,23,5,16,0,2020-02-01 02:03:01,2020-02-01 02:03:01
,876879,2,1,1,2,12,40,13,20,0,2020-02-01 02:03:03,2020-02-01 02:03:03
,951356,2,0,2,-2,10,41,29,26,0,2020-02-01 02:07:02,2020-02-01 02:07:02
,691757,1,0,1,-1,0,12,4,8,0,2020-02-01 02:10:31,2020-02-01 02:10:31
,1053346,1,0,1,-1,1,21,9,15,0,2020-02-01 02:10:31,2020-02-01 02:10:31
,399893,1,0,1,-1,5,21,2,10,0,2020-02-01 02:11:01,2020-02-01 02:11:01
,118964,1,0,1,-1,6,20,2,8,0,2020-02-01 02:12:32,2020-02-01 02:12:32
,24218,2,0,2,-2,10,50,16,25,0,2020-02-01 02:12:33,2020-02-01 02:12:33
,929654,1,0,1,-1,3,20,10,12,0,2020-02-01 02:15:31,2020-02-01 02:15:31
,725562,1,0,1,-1,1,4,0,2,0,2020-02-01 02:16:02,2020-02-01 02:16:02
,1126728,2,0,2,-2,7,30,3,7,0,2020-02-01 02:16:02,2020-02-01 02:16:02
,37264,2,2,0,6,13,48,17,27,0,2020-02-01 02:17:32,2020-02-01 02:17:32
,553616,1,0,1,-1,9,24,8,13,0,2020-02-01 02:31:02,2020-02-01 02:31:02
,604607,2,0,2,-2,2,23,9,13,0,2020-02-01 02:36:02,2020-02-01 02:36:02
,752878,2,0,2,-2,7,36,11,21,0,2020-02-01 02:40:02,2020-02-01 02:40:02
,247516,1,1,0,3,3,18,9,11,0,2020-02-01 02:47:02,2020-02-01 02:47:02
,86315,2,1,1,2,10,43,14,31,0,2020-02-01 02:55:01,2020-02-01 02:55:01
,683818,1,1,0,3,6,17,2,6,0,2020-02-01 02:56:02,2020-02-01 02:56:02
,73515,2,1,1,2,9,22,11,12,0,2020-02-01 03:01:01,2020-02-01 03:01:01
,387499,2,1,1,2,2,26,4,11,0,2020-02-01 03:01:01,2020-02-01 03:01:01
,957742,2,1,1,2,12,39,16,29,0,2020-02-01 03:01:01,2020-02-01 03:01:01
,254632,1,0,1,-1,7,24,8,13,0,2020-02-01 03:07:31,2020-02-01 03:07:31
,1076473,1,1,0,3,4,23,8,18,0,2020-02-01 03:31:02,2020-02-01 03:31:02
,859155,4,2,2,3,13,66,32,40,0,2020-02-01 03:40:31,2020-02-01 03:40:31
,788326,1,1,0,3,2,18,12,13,0,2020-02-01 04:09:01,2020-02-01 04:09:01
,322731,1,0,1,-1,4,20,8,11,0,2020-02-01 04:30:31,2020-02-01 04:30:31
,818839,1,1,0,3,4,24,10,17,0,2020-02-01 04:38:31,2020-02-01 04:38:31
,832857,1,0,1,-1,3,23,2,13,0,2020-02-01 05:06:01,2020-02-01 05:06:01
,808747,1,1,0,3,7,15,12,12,0,2020-02-01 05:06:31,2020-02-01 05:06:31
,429762,3,2,1,5,17,77,32,56,0,2020-02-01 05:20:01,2020-02-01 05:20:01
,92926,1,0,1,-1,5,23,12,21,0,2020-02-01 06:45:32,2020-02-01 06:45:32
,373710,1,0,1,-1,3,18,11,13,0,2020-02-01 09:33:31,2020-02-01 09:33:31
,493906,3,2,1,5,14,56,37,49,0,2020-02-01 09:33:31,2020-02-01 09:33:31
,233585,1,0,1,-1,3,22,8,9,0,2020-02-01 10:01:31,2020-02-01 10:01:31
,788267,1,0,1,-1,5,18,6,12,0,2020-02-01 10:01:31,2020-02-01 10:01:31
,646250,2,0,2,-2,10,49,19,29,0,2020-02-01 10:07:01,2020-02-01 10:07:01
,47030,1,0,1,-1,3,11,3,9,0,2020-02-01 10:31:32,2020-02-01 10:31:32
,1231420,1,1,0,3,3,14,10,13,0,2020-02-01 10:31:32,2020-02-01 10:31:32
,1218315,2,1,1,2,5,37,10,21,0,2020-02-01 11:02:01,2020-02-01 11:02:01
,1101201,1,0,1,-1,7,21,6,14,0,2020-02-01 11:14:01,2020-02-01 11:14:01
,730548,1,1,0,3,7,22,11,15,0,2020-02-01 11:18:31,2020-02-01 11:18:31
,1273136,2,0,2,-2,6,43,15,33,0,2020-02-01 11:24:02,2020-02-01 11:24:02
,565283,3,0,3,-3,2,57,18,24,0,2020-02-01 11:24:32,2020-02-01 11:24:32
,55441,1,0,1,-1,2,9,2,7,0,2020-02-01 11:25:31,2020-02-01 11:25:31
,1169102,1,0,1,-1,7,26,3,9,0,2020-02-01 11:30:02,2020-02-01 11:30:02
,380580,1,1,0,3,0,18,10,16,0,2020-02-01 11:46:01,2020-02-01 11:46:01
,1009267,1,1,0,3,3,15,5,13,0,2020-02-01 11:46:01,2020-02-01 11:46:01
,113087,2,1,1,2,9,40,11,23,0,2020-02-01 11:47:31,2020-02-01 11:47:31
,872724,1,1,0,3,3,11,1,6,0,2020-02-01 11:57:31,2020-02-01 11:57:31
,561900,1,1,0,3,5,11,3,11,0,2020-02-01 12:02:01,2020-02-01 12:02:01
,533302,1,0,1,-1,4,18,5,7,0,2020-02-01 12:02:31,2020-02-01 12:02:31
,55345,1,0,1,-1,3,14,9,17,0,2020-02-01 12:08:01,2020-02-01 12:08:01
,141659,2,1,1,2,6,35,16,25,0,2020-02-01 12:10:01,2020-02-01 12:10:01
,182276,1,0,1,-1,0,2,1,1,0,2020-02-01 12:17:01,2020-02-01 12:17:01
,1243965,1,0,1,-1,1,17,3,5,0,2020-02-01 12:17:01,2020-02-01 12:17:01
,798406,1,0,1,-1,3,16,2,7,0,2020-02-01 12:22:01,2020-02-01 12:22:01
,715541,1,0,1,-1,1,22,3,9,0,2020-02-01 12:33:01,2020-02-01 12:33:01
,1053687,1,0,1,-1,5,21,8,16,0,2020-02-01 12:34:31,2020-02-01 12:34:31
