id,game_mode,player_id,ref_date,total_played,kills,assists,deaths,wins,loss,headshots
,COMPETITIVO,354985,2020-02-01,85083,579,130,614,18,16,202
,COMPETITIVO,152268,2020-02-01,2567,17,3,20,0,1,2
,COMPETITIVO,679247,2020-02-01,5864,39,14,44,2,1,18
,COMPETITIVO,604607,2020-02-01,5416,42,5,44,0,3,17
,COMPETITIVO,325203,2020-02-01,4850,53,4,32,1,1,18
,COMPETITIVO,95479,2020-02-01,33590,204,55,243,2,11,60
,COMPETITIVO,35792,2020-02-01,234664,1648,394,1774,49,37,736
,COMPETITIVO,679130,2020-02-01,2504,19,2,21,0,1,5
,COMPETITIVO,1129344,2020-02-01,163147,1168,250,1192,25,37,536
,COMPETITIVO,850067,2020-02-01,9041,71,21,68,1,2,27
,COMPETITIVO,321178,2020-02-01,4672,35,9,44,1,1,18
,COMPETITIVO,79214,2020-02-01,13340,90,27,86,2,3,42
,COMPETITIVO,364740,2020-02-01,23307,141,28,147,2,6,43
,COMPETITIVO,723404,2020-02-01,158984,838,250,1071,29,30,280
,COMPETITIVO,862930,2020-02-01,9467,52,16,44,5,0,15
,COMPETITIVO,1086226,2020-02-01,23041,227,47,160,6,4,106
,COMPETITIVO,641988,2020-02-01,17808,109,34,93,4,2,36
,COMPETITIVO,681743,2020-02-01,121494,960,211,900,29,18,409
,COMPETITIVO,152301,2020-02-01,48026,373,93,330,10,8,131
,COMPETITIVO,734021,2020-02-01,164185,1195,232,1153,32,30,491
,COMPETITIVO,340916,2020-02-01,8800,37,12,65,1,2,8
,COMPETITIVO,1189027,2020-02-01,15930,112,18,88,3,2,27
,COMPETITIVO,1240338,2020-02-01,2550,6,2,20,0,1,3
,COMPETITIVO,322891,2020-02-01,11092,79,18,78,2,2,20
,COMPETITIVO,900185,2020-02-01,3033,20,7,15,1,0,6
,COMPETITIVO,1105202,2020-02-01,33054,190,49,186,6,7,54
,COMPETITIVO,81492,2020-02-01,54329,429,99,433,11,13,221
,COMPETITIVO,734543,2020-02-01,29634,272,49,262,1,11,117
,COMPETITIVO,29983,2020-02-01,34402,227,44,253,7,6,90
,COMPETITIVO,697072,2020-02-01,62387,416,106,445,11,13,183
,COMPETITIVO,806434,2020-02-01,3335,24,4,23,1,0,5
,COMPETITIVO,876879,2020-02-01,12917,87,19,88,3,2,38
,COMPETITIVO,951356,2020-02-01,124961,834,201,896,26,19,475
,COMPETITIVO,691757,2020-02-01,98014,625,124,647,21,18,204
,COMPETITIVO,1053346,2020-02-01,3027,29,1,21,0,1,9
,COMPETITIVO,399893,2020-02-01,32927,201,46,211,7,5,66
,COMPETITIVO,118964,2020-02-01,173069,1158,250,1210,33,27,470
,COMPETITIVO,15100,2020-02-01,52824,251,49,195,7,4,83
,COMPETITIVO,24218,2020-02-01,5227,41,10,50,0,2,16
,COMPETITIVO,929654,2020-02-01,33872,213,36,222,7,6,82
,COMPETITIVO,725562,2020-02-01,39886,252,67,276,11,6,68
,COMPETITIVO,1126728,2020-02-01,4512,10,7,30,0,2,3
,COMPETITIVO,1194614,2020-02-01,25095,149,42,164,8,3,42
,COMPETITIVO,37264,2020-02-01,5959,37,13,48,2,0,17
